宁海城西加油站	93900	24500	14000	0	0
胜利加油站	91500	12000	30500	10500	0
宁海城东加油站	94500	0	31000	11000	0
宁海南门加油站	97900	0	14000	7100	0
黄坛加油站	987000	0	14100	0	0
长街加油站	122000	0	21100	0	0
宁海力洋东门站	118900	0	21000	0	0
桑洲加油站	117100	14800	0	0	0
大佳河加油站	99100	0	0	14000	0
深圳加油站	95500	0	12000	9000	0
梅岙加油站	104100	0	13500	0	0
宁海力洋站	120000	0	21100	0	0
宁海城北加油站	88400	0	28000	14000	0
